
v_akpub_adm_group: ['nId', 'wstrName', 'nParentId', 'nVServer']
(0, '受管理设备', 2, None)
(1, '未分配的设备', None, None)
(4, 'WORKGROUP', 1, None)
(5, 'CCYY', 1, None)
(6, 'MSHOME', 1, None)
(7, '网络反攻击阻断组', 0, None)
(8, '住院部203网段', 0, None)
(9, '住院部202网段', 0, None)
(10, '住院部201网段', 0, None)
(11, '后勤204网段', 0, None)
(12, '检验科', 0, None)
(13, '物理服务器', 0, None)
(14, '206网段', 0, None)
(15, 'ts', 0, None)

v_akpub_host: ['nId', 'strName', 'wstrDisplayName', 'bIsSlaveServer', 'bHasUpadateAgent', 'wstrDnsName', 'wstrDnsDomain', 'wstrWinName', 'wstrWinDomain', 'tmLastVisible', 'tmLastInfoUpdate', 'tmLastUpdate', 'tmLastNagentConnected', 'tmLastFullScan', 'nGroup', 'nStatus', 'nVersionMajor', 'nVersionMinor', 'nComputerType', 'nPlatformType', 'nIp', 'nConnectionIp', 'bKeepConnection', 'nVirusCount', 'nUncured', 'nLastRtpState', 'nLastRtpErrorCode', 'wstrComment', 'nVServer', 'nSpMajor', 'nSpMinor', 'nProcType', 'binUserOwner', 'bCustomUserOwner', 'qwNagentBuild', 'bWuaSwitched', 'tmSystemLastStarted', 'bRebootRequired', 'nRebootRequestReason', 'tmRebootRequestTime', 'nEncryptionStatus', 'tmLastUaSearch', 'nVisibilityTimeout', 'bVmVdi', 'nVmType', 'nPkgMgrType']
(1, 'e8c425d0-3939-46ba-aee5-15fb67b99302', 'PC1', False, False, 'pc1', '', 'PC1', 'WORKGROUP', datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 26, 4, 50, 10), datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 20, 11, 0, 54), 0, 29, 6, 1, 69639, 2, 2130706433, 2130706433, True, 1, 0, 4, -1, None, 0, 1, 0, 2, None, False, 2814766969454592, False, datetime.datetime(2019, 12, 26, 6, 18, 23), False, 0, None, None, datetime.datetime(2019, 12, 26, 0, 0), 1440, False, 3, 0)
(2, '0d0cfdee-9ad7-4a6d-8956-2b717d9248f0', '0d0cfdee-9ad7-4a6d-8956-2b717d9248f0', True, False, '192.0.0.44', '', '192.0.0.44', '', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 3, 0, None, None, None, None, None, 0, False, 0, 0, 0, 0, None, 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(3, 'cd74fa75-18b6-40be-9559-825400199bb3', 'CDP-HIS', False, False, 'cdp-his', '', 'CDP-HIS', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 25, 7, 3, 15), datetime.datetime(2019, 12, 25, 7, 8, 29), datetime.datetime(2019, 12, 20, 11, 1, 34), 13, 20, 6, 1, 36871, 2, 3221225516, 0, False, 0, 0, 0, 0, None, 0, 1, 0, 2, None, False, 2814766969454592, False, datetime.datetime(2019, 4, 4, 2, 40, 12), False, 0, None, None, None, 47, False, 2, 0)
(4, '24c3fd2d-95dd-4411-8daa-9d265a7031a3', 'VIA221142', False, False, '', '', 'VIA221142', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225643, 0, False, 0, 0, 0, 0, 'via221142', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(5, 'b00146af-1a46-4d6b-b009-08bcaf50f4c0', 'CWSERVER', False, False, '', '', 'CWSERVER', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225492, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(6, '73c9b844-4f21-4991-aa77-d57073cf25d7', 'SMPDCM3', False, False, '', '', 'SMPDCM3', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225571, 0, False, 0, 0, 0, 0, 'SMPDCM3', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(7, '2a03eea8-db6b-429f-a6ba-eda5a7ecfa7f', 'WVL59VE93G8GQYO', False, False, '', '', 'WVL59VE93G8GQYO', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225622, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(8, '85236e57-b1c7-4464-9100-45d7ba92e06c', 'ZYNYK102', False, False, '', '', 'ZYNYK102', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225607, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(9, '23a1391e-4b71-44ac-9d5b-b40dc472d1e9', 'SMPDCM2', False, False, '', '', 'SMPDCM2', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225570, 0, False, 0, 0, 0, 0, 'SMPDCM2', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(10, '3e4c6309-5791-4d08-9834-95cd6ba65f62', 'WEIXIN2', False, False, '', '', 'WEIXIN2', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225503, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(11, 'f5552fe1-051c-4cb6-afcd-4dec4b508498', '住院内一科105', False, False, '', '', '住院内一科105', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(12, '99265f7b-3a73-45e1-814c-69a350d18746', 'CC0626VAA', False, False, '', '', 'CC0626VAA', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225640, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
